gear,pressure,direction,gear_direction,velocity,test_over_time,test_begin_coordinate,test_end_coordinate
6,9,forward,forward,282.3529412,170,0,48000
1,10,forward,forward,0,0,0,48000
2,10,forward,forward,0,0,0,48000
3,10,forward,forward,10,0,0,48000
4,10,forward,forward,208.6956522,230,0,48000
5,10,forward,forward,218.1818182,220,0,48000
6,10,forward,forward,266.6666667,180,0,48000
1,11,forward,forward,0,0,0,48000
2,11,forward,forward,0,0,0,48000
3,11,forward,forward,0,0,0,48000
4,11,forward,forward,200,240,0,48000
5,11,forward,forward,208.6956522,230,0,48000
6,11,forward,forward,252.6315789,190,0,48000
1,12,forward,forward,0,0,0,48000
2,12,forward,forward,0,0,0,48000
3,12,forward,forward,0,0,0,48000
4,12,forward,forward,192,250,0,48000
5,12,forward,forward,200,240,0,48000
6,12,forward,forward,240,200,0,48000
1,13,forward,forward,0,0,0,48000
2,13,forward,forward,0,0,0,48000
3,13,forward,forward,0,0,0,48000
4,13,forward,forward,188.2352941,255,0,48000
5,13,forward,forward,192,250,0,48000
6,13,forward,forward,234.1463415,205,0,48000
1,14,forward,forward,0,0,0,48000
2,14,forward,forward,0,0,0,48000
3,14,forward,forward,0,0,0,48000
4,14,forward,forward,0,0,0,48000
5,14,forward,forward,184.6153846,260,0,48000
6,14,forward,forward,228.5714286,210,0,48000
1,15,forward,forward,0,0,0,48000
2,15,forward,forward,0,0,0,48000
3,15,forward,forward,0,0,0,48000
4,15,forward,forward,0,0,0,48000
5,15,forward,forward,177.7777778,270,0,48000
6,15,forward,forward,223.255814,215,0,48000
1,16,forward,forward,0,0,0,48000
2,16,forward,forward,0,0,0,48000
3,16,forward,forward,0,0,0,48000
4,16,forward,forward,0,0,0,48000
5,16,forward,forward,177.7777778,270,0,48000
6,16,forward,forward,218.1818182,220,0,48000
1,17,forward,forward,0,0,0,48000
2,17,forward,forward,0,0,0,48000
3,17,forward,forward,0,0,0,48000
4,17,forward,forward,0,0,0,48000
5,17,forward,forward,165.5172414,290,0,48000
6,17,forward,forward,213.3333333,225,0,48000
1,18,forward,forward,0,0,0,48000
2,18,forward,forward,0,0,0,48000
3,18,forward,forward,0,0,0,48000
4,18,forward,forward,0,0,0,48000
5,18,forward,forward,160,300,0,48000
6,18,forward,forward,208.6956522,230,0,48000
1,19,forward,forward,0,0,0,48000
2,19,forward,forward,0,0,0,48000
3,19,forward,forward,0,0,0,48000
4,19,forward,forward,0,0,0,48000
5,19,forward,forward,154.8387097,310,0,48000
6,19,forward,forward,204.2553191,235,0,48000
1,1,backward,backward,228.5714286,210,0,48000
1,2,backward,backward,218.1818182,220,0,48000
1,3,backward,backward,208.6956522,230,0,48000
1,4,backward,backward,0,0,0,48000
1,5,backward,backward,0,0,0,48000
1,6,backward,backward,0,0,0,48000
1,7,backward,backward,0,0,0,48000
1,8,backward,backward,0,0,0,48000
1,9,backward,backward,0,0,0,48000
1,10,backward,backward,0,0,0,48000
1,11,backward,backward,0,0,0,48000
1,12,backward,backward,0,0,0,48000
1,13,backward,backward,0,0,0,48000
1,14,backward,backward,0,0,0,48000
1,15,backward,backward,0,0,0,48000
1,16,backward,backward,0,0,0,48000
1,17,backward,backward,0,0,0,48000
1,18,backward,backward,0,0,0,48000
1,19,backward,backward,0,0,0,48000
1,20,backward,backward,0,0,0,48000
1,21,backward,backward,0,0,0,48000
1,22,backward,backward,0,0,0,48000
1,23,backward,backward,0,0,0,48000
1,24,backward,backward,0,0,0,48000
1,25,backward,backward,0,0,0,48000
1,26,backward,backward,0,0,0,48000
1,27,backward,backward,0,0,0,48000
1,28,backward,backward,0,0,0,48000
1,29,backward,backward,0,0,0,48000
1,30,backward,backward,0,0,0,48000
1,31,backward,backward,0,0,0,48000
1,32,backward,backward,0,0,0,48000
1,33,backward,backward,0,0,0,48000
1,34,backward,backward,0,0,0,48000
1,35,backward,backward,0,0,0,48000
1,36,backward,backward,0,0,0,48000
1,37,backward,backward,0,0,0,48000
1,38,backward,backward,0,0,0,48000
2,1,backward,backward,282.3529412,170,0,48000
2,2,backward,backward,266.6666667,180,0,48000
